Path,Category,Can you describe the shape or form of the item?,What details become apparent upon closer inspection of the image?,What role does the item in the image serve?,What colors are commonly associated with the item?,How is the item typically obtained?,What are some common places where the item might be found or used?
/content/Dataset_simple_sketch/test/screwdriver/14483.png,screwdriver,a single line drawing of a teddy bear,a single line drawing of a styrofoam cup and a single line drawing of a sty,it is a styrofoam cup,black and white,from a store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/santa claus/14001.png,santa claus,santa claus santa claus santa claus santa claus s,the santa claus is wearing a santa claus hat,santa claus santa claus santa claus santa claus s,red and white,from a santa claus gift box,santa claus santa claus santa claus santa claus s
/content/Dataset_simple_sketch/test/cigarette/4241.png,cigarette,cigarette cigarette cigarette cigarette cigarette cigarette cigarette cigarette cigarette cigarette cigarette cigarette cigarette cigarette cigarette,the cigarette has a hole in the middle of it,it is a cigarette,black and white,from a cigarette pack,"cigarette pack, cigarette pack, cigarette pack, cigarette pack, cigarette pack, cigarette pack, cigarette pack, cigarette"
/content/Dataset_simple_sketch/test/walkie talkie/19361.png,walkie talkie,a doodle of a radio,there is a radio on the side of the drawing,it is a radio,black and white,from a mobile phone,"in a car, on a boat, on a plane, on a train, on a plane, on a train,"
/content/Dataset_simple_sketch/test/lion/9845.png,lion,a line drawing of a lion,the lion is wearing a hat,a lion,black and white,"from a zoo, aquarium, or zoo","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/eye/6082.png,eye,eye,the eye is drawn with a single line,the eye is the most important part of the human body,black and white,from a tattoo artist,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/paper clip/11522.png,paper clip,a line drawn on a white background,the shape of the object is a spherical shape,it is a line drawing of a hat,black and white,from a manufacturer,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/house/8802.png,house,house,the house has a roof and a chimney,a house,black and white,from a print shop,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/trombone/18644.png,trombone,the shape of the item is a trombone,the instrument is a trombone,trombone,black and white,from a music store,"in a band, in a marching band, in a marching band, in a marching band, in a march"
/content/Dataset_simple_sketch/test/bowl/2242.png,bowl,a bowl,"the shape of the bowl is spherical, and the shape of the bowl is spherical",a fruit or vegetable,"orange, yellow, green",in the form of a fruit or vegetable,"a bowl, a cup, a plate, a bowl, a bowl, a bowl, a bowl, a"
/content/Dataset_simple_sketch/test/alarm clock/104.png,alarm clock,heart shape,there is a clock in the shape of a heart with an arrow pointing in the direction of the heart,a clock,black and white,from a medical professional,"clocks, watches, alarm clocks, watches, clocks, clocks, clocks, clocks, clocks, clocks, clock"
/content/Dataset_simple_sketch/test/snowman/15605.png,snowman,snowman,the snowman is wearing a hat,a snowman,black and white,in the form of a snowman,"snowman coloring pages, snowman coloring pages, snowman coloring pages, snowman coloring pages, snowman coloring pages, snowman coloring pages,"
/content/Dataset_simple_sketch/test/parrot/11762.png,parrot,a line drawing of a bird,the bird has a long beak and a long tail,a bird,black and white,"from a zoo, zoo, zoo, zoo, zoo, z","in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/bee/1365.png,bee,bee,the bee has a stinger in its mouth,bee,black and white,from a bee hive,"in a children's book, on a t-shirt, on a hat, on a shirt, on a"
/content/Dataset_simple_sketch/test/binoculars/1763.png,binoculars,a pair of binoculars,the binoculars are shaped like a pair of binoculars,binoculars,black and white,"in the form of a pair of binoculars, a pair of binoculars, or a pair of binocular","binoculars, telescopes, binoculars, binoculars, binoculars, binoculars, bino"
/content/Dataset_simple_sketch/test/t-shirt/17125.png,t-shirt,a t-shirt,the t - shirt has a collar and a sleeve,a t-shirt,"white, black, and blue",from a clothing store,"men's t-shirts, women's t-shirts, children's t-shirts, women's t-"
/content/Dataset_simple_sketch/test/dog/5283.png,dog,a line drawing of a dog,the dog is standing on its hind legs,a dog,black and white,from a pet store,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/bush/2722.png,bush,a single line drawing of a plant on a white background,the plant is a single line drawing of a single plant on a white background,a plant,black and white,in the form of a plant,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/beer-mug/1444.png,beer-mug,beer mug,the mug has a handle and a spout,it is a beer mug,black and white,from a beer mug,beer mugs mugs mugs mugs mugs mugs mugs mugs mugs mug
/content/Dataset_simple_sketch/test/ear/5843.png,ear,the shape or form of the item is ear,the shape of the ear and the shape of the tip of the ear,the ear,black and white,from a tattoo artist or tattoo parlour,ear piercings ear piercings ear piercings ear piercings ear
/content/Dataset_simple_sketch/test/backpack/723.png,backpack,a backpack,the backpack has a handle and a strap,it is a backpack,black and white,from a school supply store,"backpacks can be found in schools, daycares, daycares, daycares, daycares, daycares, daycare"
/content/Dataset_simple_sketch/test/wineglass/19765.png,wineglass,martini glass,the rim of the glass is curved,a drinking glass,"red, white, and blue",from a bar or restaurant,"bar, restaurant, bartender, bartender, bartender, bartender, bartender, bartender, bart"
/content/Dataset_simple_sketch/test/helicopter/8325.png,helicopter,a line drawing of a helicopter,there is a wing on the side of the helicopter and a wing on the front of the helicopter,a helicopter,black and white,from a helicopter manufacturer,"airplanes, helicopters, airplanes, helicopters, helicopters, helicopters, helicopters, helicopters, helicopters, helicopters,"
/content/Dataset_simple_sketch/test/pig/12404.png,pig,a line drawing of a person,the man is wearing a shirt and a hat,a character in a story,black and white,from a store,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/bed/1281.png,bed,a line drawing of a bed,there is a bed in the middle of the image,a bed,black and white,in a hotel,"bedroom, bathroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/revolver/13603.png,revolver,a line drawing of a gun,the shape of the gun's handle and the shape of the gun's barrel,a weapon,black and white,a credit usd $1,"a gunfighter's glove, a gunfighter's glove, a gunfighter's glove, a gun"
/content/Dataset_simple_sketch/test/monkey/10484.png,monkey,a monkey's face,the monkey's mouth is open and his eyes are closed,it is a drawing of a monkey's face,black and white,"from a zoo, aquarium, or zoo","children's coloring books, coloring pages, coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages,"
/content/Dataset_simple_sketch/test/bus/2641.png,bus,a line drawing of a bus,the bus is drawn in a single line,a transportation vehicle,black and white,from a bus company,"bus stops, bus stops, bus stops, bus stops, bus stops, bus stops, bus stops, bus stops, bus stops, bus stops,"
