Path,Category,Prediction,Shape of the item.,Details of the item.,Use of item.,Describe how this item is typically obtained.,Identify some common places where the item might be found or used.
/content/Dataset_simple_sketch/test/cell phone/3998.png,cell phone,cell phone,a cell phone,doodle drawing of a cell phone,a cell phone,from a cell phone,"in a pocket, purse, pocketbook, purse, backpack, briefcase, briefcase, purse, satchel, briefcase,"
/content/Dataset_simple_sketch/test/cell phone/3976.png,cell phone,cell phone,a cell phone,a drawing of a cell phone on a white background,a cell phone,it is typically obtained by drawing a picture of a cell phone on a white background,"in a car, on a train, on a bus, in a restaurant, in a hotel, in a restaurant,"
/content/Dataset_simple_sketch/test/cell phone/3948.png,cell phone,cell phone,a cell phone,doodle drawing of a cell phone on a white background,a cell phone,from a cell phone,"in a car, on a train, on a bus, on a train, on a train, on a bus,"
/content/Dataset_simple_sketch/test/cell phone/3974.png,cell phone,cell phone,a cell phone,a drawing of a cell phone,a cell phone,by drawing a line on a white surface,"cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones,"
/content/Dataset_simple_sketch/test/cell phone/3962.png,cell phone,cell phone,a single line drawing of a banana on a white background,a single line drawing of a banana on a white background,a single line drawing of a banana on a white background,it is typically obtained from a cell phone,"in a car, on a plane, on a train, in a restaurant, on a bus, on a train,"
/content/Dataset_simple_sketch/test/cell phone/3929.png,cell phone,cell phone,a cell phone,a line drawing of a cell phone,a cell phone,from a cell phone,"cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones,"
/content/Dataset_simple_sketch/test/cell phone/3926.png,cell phone,cell phone,a floppy disk,adobe illustrator adobe illustrator adobe illustrator adobe illustrator adobe illustrator,adobe acrobat,it is typically obtained from a computer manufacturer,"ipod, ipad, ipod touch, ipod nano, ipod touch, ipod touch, i"
/content/Dataset_simple_sketch/test/cell phone/3922.png,cell phone,cell phone,a cell phone,a drawing of a cell phone,a cell phone,from a cell phone,"in a car, on a train, on a plane, on a train, on a bus, on a train,"
/content/Dataset_simple_sketch/test/cell phone/3958.png,cell phone,cell phone,a cell phone,drawing of a cell phone,how to draw a cell phone,a cell phone is purchased from a cell phone store,"a cell phone, a calculator, a calculator, a calculator, a calculator, a calculator, a calculator, "
/content/Dataset_simple_sketch/test/cell phone/3937.png,cell phone,cell phone,a cell phone,a drawing of a cell phone,a cell phone,from a mobile phone,"cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones,"
/content/Dataset_simple_sketch/test/cell phone/3942.png,cell phone,teddy-bear,a loaf of bread,a line drawing of a phone,a loaf of bread,it is typically obtained as a gift from a friend or family member,"a sandwich shop, a bakery, a bakery, a restaurant, a bakery, a bakery, a restaurant, "
/content/Dataset_simple_sketch/test/cell phone/4000.png,cell phone,cell phone,cell phone,drawing of a cell phone,a cell phone,by drawing a sketch on a piece of paper,"cell phones, tablets, laptops, ipads, ipods, mp3 players, mp4 players, mp"
/content/Dataset_simple_sketch/test/cell phone/3950.png,cell phone,cell phone,cell phone,nokia cell phone,a cell phone,from a cell phone,"a cell phone, ipod, ipad, ipod touch, ipod nano, ipod touch, i"
/content/Dataset_simple_sketch/test/cell phone/3992.png,cell phone,cell phone,a cell phone,a line drawing of a cell phone on a white background,a cell phone,it is typically obtained from a cell phone,"in a car, on a plane, in a hotel room, in a restaurant, in a hotel room, in a"
/content/Dataset_simple_sketch/test/cell phone/3959.png,cell phone,cell phone,a cell phone,a drawing of a cell phone on a white background,a cell phone,by drawing a line on a white surface,in a cell phone holder in a pocket in a purse in a pocket in a purse in a pocket in a
/content/Dataset_simple_sketch/test/binoculars/1840.png,binoculars,teddy-bear,shape of the item,line drawing of a teflon teflon teflon teflon,a) a) b) c) d) e) f) g) h) i),it is typically obtained from a medical device manufacturer,"a cigarette lighter, cigarette lighter adapter, cigarette lighter adapter, cigarette lighter adapter, cigarette lighter adapter,"
/content/Dataset_simple_sketch/test/binoculars/1811.png,binoculars,binoculars,binoculars,a pair of binoculars,binoculars,a pair of binoculars is a pair of binoculars with a pair of binoculars,"binoculars can be found in a variety of places, such as a zoo, a museum, or a"
/content/Dataset_simple_sketch/test/binoculars/1789.png,binoculars,teddy-bear,oblong shape of the item,a pencil drawing of a pair of logs,a line drawing of a piece of wood on a white background,it is typically obtained from a tree,"in the kitchen, in the bathroom, in the kitchen, in the bathroom, in the kitchen, in the bathroom, in the kitchen, in the"
/content/Dataset_simple_sketch/test/binoculars/1795.png,binoculars,teddy-bear,"a pair of binoculars, a pair of binoculars, a pair of binoculars, a pair",line drawing of a pair of binoculars,h h h h h h h h h h h h h h h,it is typically obtained by using a pair of binoculars or a pair of binoculars and a pair of bino,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/binoculars/1778.png,binoculars,binoculars,binoculars,toyota tacoma tacoma tacoma tacoma tacoma,toyota tacoma tacoma tacoma tacoma tacoma,from the original equipment manufacturer (oem),"car stereos, stereos, stereos, stereos, stereos, stereos, stereos, stereos, stereos, stereos"
/content/Dataset_simple_sketch/test/binoculars/1785.png,binoculars,binoculars,binoculars,drawing of a pair of binoculars,h binoculars h binoculars h binoculars h binoculars h binoculars,a pair of binoculars is a pair of binoculars with a pair of binoculars,binoculars binoculars binoculars binoculars binoculars binoculars binoculars bino
/content/Dataset_simple_sketch/test/binoculars/1801.png,binoculars,eyeglasses,eyeglasses,drawing of a pair of goggles on a white background,a pair of goggles,it is typically obtained from a medical supply store,eyeglasses eyeglasses eyeglasses eyeglasses eyeglasses eyeglasses eyeglasses eyeglass
/content/Dataset_simple_sketch/test/binoculars/1763.png,binoculars,binoculars,binoculars,"a pair of binoculars, a pair of binoculars, a pair of binoculars, a pair",binoculars,it is typically obtained by obtaining a pair of binoculars or a pair of binoculars and a pair of bin,"binoculars, binoculars, binoculars, binoculars, binoculars, binoculars,"
/content/Dataset_simple_sketch/test/binoculars/1813.png,binoculars,binoculars,binoculars,a pair of binoculars,binoculars,binoculars are typically obtained from a zoo,"binoculars can be found in a zoo, aquarium, zoo, zoo, zo"
/content/Dataset_simple_sketch/test/binoculars/1825.png,binoculars,binoculars,binoculars,a pair of binoculars,binoculars,using a pair of binoculars,"binoculars, telescopes, binoculars, binoculars, binoculars, binoculars, bino"
/content/Dataset_simple_sketch/test/binoculars/1818.png,binoculars,teddy-bear,h - shape of the item,teflon teflon teflon teflon teflon,h - h - h - h - h - h - h - h,it is typically obtained from a machine shop,"in a car, in a kitchen, in a bathroom, in a kitchen, in a bathroom, in a kitchen,"
/content/Dataset_simple_sketch/test/binoculars/1780.png,binoculars,binoculars,binoculars,binoculars,binoculars,binoculars are a pair of binoculars,"binoculars can be found in a zoo, aquarium, zoo, zoo, zo"
/content/Dataset_simple_sketch/test/binoculars/1826.png,binoculars,binoculars,binoculars,drawing of binoculars,binoculars,it is typically obtained by drawing a line on a white piece of paper,binoculars binoculars binoculars binoculars binoculars binoculars binoculars bino
/content/Dataset_simple_sketch/test/binoculars/1804.png,binoculars,teddy-bear,shape of the item,a line drawing of a pair of sunglasses,a line drawing of a pair of earphones,by drawing a line on a white sheet of paper,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/binoculars/1770.png,binoculars,teddy-bear,a pair of boxing gloves,line drawing of a pair of boxing gloves,line drawing of a pair of boxing gloves,by drawing a line on a white sheet of paper,boxing gloves boxing gloves boxing gloves boxing gloves boxing gloves boxing gloves boxing gloves boxing gloves boxing gloves boxing gloves
/content/Dataset_simple_sketch/test/binoculars/1819.png,binoculars,teddy-bear,shape of the item - shape of the item - shape of the item - shape of the item - shape of the item -,a drawing of a man and a woman standing next to each other,a drawing of a man and a woman using an item,by drawing a line on a white piece of paper,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/airplane/48.png,airplane,airplane,airplane,a line drawing of a plane on a white background,a doodle of a plane on a white background,it is typically obtained by drawing a plane on a white background,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/46.png,airplane,airplane,airplane vector illustration,a line drawing of a plane on a white background,a line drawing of a plane on a white background,it is typically obtained by drawing a plane on a white background,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/19.png,airplane,airplane,a line drawing of a plane,a line drawing of a plane,a line drawing of a plane,it is typically obtained by drawing a single line on a white background,airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages
/content/Dataset_simple_sketch/test/airplane/59.png,airplane,teddy-bear,shape of the item. shape of the item. shape of the item. shape of the item. shape of the item. shape of the item.,doodle drawing of a squid,i'm going to use it to draw a plane,it is typically obtained by drawing a line on a white background,"airplanes, helicopters, airplanes, helicopters, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/67.png,airplane,airplane,shape of the item. shape of the item. shape of the item. shape of the item. shape of the item. shape of the item.,a line drawing of a plane on a white background,a line drawing of a plane on a white background,it is typically obtained by drawing a line on a white background,"airports, airports, airports, airports, airports, airports, airports, airports, airports, airports,"
/content/Dataset_simple_sketch/test/airplane/36.png,airplane,airplane,shape of the item shape of the item shape of the item shape of the item shape of the item shape of the item shape of the item shape of,1 credit usd $1,1 credit usd $1,use a pencil to draw the outline of a plane,airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages
/content/Dataset_simple_sketch/test/airplane/73.png,airplane,airplane,airplane,a line drawing of a plane on a white background,a line drawing of a plane on a white background,it is typically obtained by drawing a line on a white background,"airports, airports, airports, airports, airports, airports, airports, airports, airports, airports,"
/content/Dataset_simple_sketch/test/airplane/13.png,airplane,airplane,airplane,a single line drawing of a plane on a white background,a single line drawing of a plane on a white background,by drawing a single line on a white background,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/17.png,airplane,airplane,airplane,a line drawing of a plane on a white background,a line drawing of a plane on a white background,by drawing a line on a white background,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/78.png,airplane,airplane,airplane,a line drawing of a plane on a white background,a line drawing of a plane on a white background,by drawing a line on a white sheet of paper,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/42.png,airplane,teddy-bear,airplane vector illustration,a line drawing of a plane on a white background,a line drawing of a plane on a white background,by drawing a line on a white background,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/56.png,airplane,airplane,airplane,single line drawing of a plane on a white background,a single line drawing of a plane on a white background,by drawing a single line on a white background,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/52.png,airplane,teddy-bear,a plane,a line drawing of a plane on a white background,line drawing of a plane on a white background,by drawing a line on a white background,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/37.png,airplane,airplane,airplane,a line drawing of a plane on a white background,a doodle of a plane on a white background,it is typically obtained by drawing a line on a white background with a pen,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/68.png,airplane,airplane,airplane,airplane coloring page - airplane coloring page - airplane coloring page - airplane coloring page - airplane coloring page - airplane coloring page -,"airplane coloring page, airplane coloring page, airplane coloring page, airplane coloring page, airplane coloring page, airplane coloring page, airplane coloring page, airplane coloring",it is typically obtained by drawing the outline of an airplane on a white background,airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages
/content/Dataset_simple_sketch/test/airplane/38.png,airplane,airplane,airplane,a line drawing of a plane on a white background,a line drawing of a plane on a white background,it is typically obtained by drawing a line on a white background,airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages
/content/Dataset_simple_sketch/test/arm/445.png,arm,hand,a line drawing of a hand,a line drawing of a hand with a hand outstretched,a line drawing of a hand holding an item,it is typically obtained by drawing a line on a white background,"handbags, purses, backpacks, hats, jackets, coats, hats, mittens, gloves,"
/content/Dataset_simple_sketch/test/arm/457.png,arm,hand,a line drawing of a hand,a line drawing of a person's arm,a line drawing of a hand with an arm outstretched,it is typically obtained by drawing a line on a white background,"handbags, purses, hats, jackets, shirts, hats, hats, hats, "
/content/Dataset_simple_sketch/test/arm/402.png,arm,hand,a line drawing of a hand reaching out,a line drawing of a hand reaching out,a line drawing of a hand reaching out,it is typically obtained by drawing a line on a white background,a teddy bear's teddy bear's teddy bear's teddy bear's
/content/Dataset_simple_sketch/test/arm/418.png,arm,hand,a line drawing of a hand,a line drawing of a hand reaching out,how to draw a hand,it is typically obtained by drawing a line on a white background,"handbags, purses, backpacks, hats, jackets, shirts, hats, mittens, gloves,"
/content/Dataset_simple_sketch/test/arm/454.png,arm,kangaroo,line drawing of a woman's torso,1 credit usd $1,a line drawing of a woman's torso,it is typically obtained by drawing a line on a white background,"in the kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/arm/429.png,arm,hand,a line drawing of an arm,a line drawing of a hand with an arm outstretched,a line drawing of a hand reaching out,it is typically obtained by drawing a line on a white background,"handbags, purses, backpacks, hats, jackets, shirts, hats, mittens, gloves,"
/content/Dataset_simple_sketch/test/arm/441.png,arm,hand,a line drawing of a person's arm,,a line drawing of a person's arm,it is typically obtained by drawing a line on a white background,"handbags, purses, backpacks, hats, jackets, shirts, hats, mittens, gloves,"
/content/Dataset_simple_sketch/test/arm/446.png,arm,kangaroo,octopus - octopus - octopus - octopus - o,a line drawing of a hand reaching out,a line drawing of a hand reaching out,it is typically obtained by drawing a line on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/arm/430.png,arm,hand,a line drawing of a hand,a line drawing of a hand reaching out,a line drawing of a hand reaching out,by drawing a line on a white background,"handbags, purses, hats, jackets, shirts, hats, hats, hats, "
/content/Dataset_simple_sketch/test/arm/403.png,arm,hand,a line drawing of a human arm,a line drawing of an arm,a line drawing of a hand with an arm outstretched,it is typically obtained by drawing a line on a white background,"arm, hand, hand, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm, arm,"
/content/Dataset_simple_sketch/test/arm/420.png,arm,hand,a line drawing of a person's arm,a doodle of a hand reaching out,a hand with a sleeve on it,it is typically obtained by drawing a line on a white background,"handbags, purses, backpacks, hats, jackets, shirts, hats, mittens, gloves,"
/content/Dataset_simple_sketch/test/arm/453.png,arm,teddy-bear,shape of the item,drawing of a teddy bear drawing of a teddy bear drawing of a teddy bear drawing of,how to draw a line on a white background,it is typically obtained by drawing a line on a white background,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/arm/438.png,arm,hand,a person's arm,a drawing of a human arm with a hand outstretched,how to draw a human arm with a hand outstretched,by drawing a line on a white piece of paper,"a t-shirt, a hat, a shirt, a hat, a shirt, a shirt, "
/content/Dataset_simple_sketch/test/arm/462.png,arm,teddy-bear,shape of the item,drawing of a teddy bear drawing of a teddy bear drawing of a teddy bear drawing of,a teddy bear,it is typically obtained by drawing a line on a white piece of paper,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, kitchen, bathroom, bedroom, living room, bedroom, bathroom,"
/content/Dataset_simple_sketch/test/arm/470.png,arm,teddy-bear,shape of the item,a line drawing of a man with his arms outstretched,how to draw a teddy bear,by drawing a line on a white background,"a t-shirt, a hat, a shirt, a shirt, a shirt, a shirt, a"
/content/Dataset_simple_sketch/test/arm/447.png,arm,teddy-bear,a line drawing of a hand,a line drawing of a lizard's wing,a line drawing of a hand holding an object,it is typically obtained by drawing a line on a white background,a teddy bear's teddy bear teddy bear teddy bear teddy bear
/content/Dataset_simple_sketch/test/ant/313.png,ant,ant,beetle,drawing of a beetle drawing of a beetle drawing of a beetle drawing of a bee,a beetle,it is typically obtained from a beetle,"bees, ants, spiders, beetles, hornets, locusts, locusts"
/content/Dataset_simple_sketch/test/ant/247.png,ant,ant,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,drawing of an ant on a white background - drawing of an ant on a white background - drawing of an ant on,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,It is typically obtained by drawing a line on a white background,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant
/content/Dataset_simple_sketch/test/ant/298.png,ant,ant,ant,drawing of an ant on a white background,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,it is typically obtained from a bug's body,"ants are found in a wide variety of habitats, including forests, grasslands, deserts, savannas, and"
/content/Dataset_simple_sketch/test/ant/264.png,ant,ant,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,drawing of an ant - drawing of an ant - drawing of an ant - drawing of an ant - drawing of,how to draw an ant,it is typically obtained by drawing a picture of an ant on a white sheet of paper,ant farm ant farm ant farm ant farm ant farm ant farm ant farm ant farm ant farm ant farm
/content/Dataset_simple_sketch/test/ant/250.png,ant,ant,ant,ant beetle,ant beetle ant beetle ant beetle ant beetle ant beetle,it is typically obtained from a beetle,"bees, butterflies, moths, beetles, ants, hornets, hornets,"
/content/Dataset_simple_sketch/test/ant/276.png,ant,ant,shape of the item. shape of the item. shape of the item. shape of the item. shape of the item. shape of the item.,drawing of an ant on a white background,a beetle,it is typically obtained by drawing a line on a white piece of paper,in a teddy bear's teddy bear teddy bear teddy bear teddy bear
/content/Dataset_simple_sketch/test/ant/287.png,ant,ant,ant,drawing of a ant,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,it is typically obtained from a pterosaur,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant
/content/Dataset_simple_sketch/test/ant/243.png,ant,teddy-bear,shape of the item. shape of the item. shape of the item. shape of the item. shape of the item. shape of the item.,a line drawing of a teddy bear with a teddy bear's head on a white background,a line drawing of a teddy bear with a teddy bear on a white background,it is typically obtained by drawing a line on a white background,"a t-shirt, a hat, a shirt, a hat, a shirt, a shirt, "
/content/Dataset_simple_sketch/test/ant/245.png,ant,ant,ant,line drawing of an ant on a white background,ant,it is typically obtained from a bug's body,"ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant"
/content/Dataset_simple_sketch/test/ant/293.png,ant,bee (animal),beetle,drawing of a bee,a beetle,it is typically obtained from a bee hive,beeswax candle wax candle wax candle wax candle wax candle wax candle wax candle wax candle wax candle wax candle wax candle wax candle wax
/content/Dataset_simple_sketch/test/ant/316.png,ant,ant,ant,line drawing of an ant on a white background,how to draw an ant on a white background,it is typically obtained from a bug's body,"ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant"
/content/Dataset_simple_sketch/test/ant/277.png,ant,crocodile,beetle,a drawing of a beetle on a white background,drawing a bug,it is typically obtained from a bug's body,"bees, ants, spiders, beetles, beetles, beetles, beetles,"
/content/Dataset_simple_sketch/test/ant/303.png,ant,ant,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,line drawing of an ant on a white background,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,it is typically obtained by drawing a line on a white background,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant
/content/Dataset_simple_sketch/test/ant/242.png,ant,ant,beetle,doodle drawing of a beetle on a white background,"a beetle is a beetle, a beetle is a beetle, a",it is typically obtained from a beetle,"in a bug's habitat, such as a bug's nest, a bug's nest, or a bug's"
/content/Dataset_simple_sketch/test/ant/307.png,ant,ant,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,line drawing of an ant on a white background,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,it is typically obtained by drawing a line on a white background,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant
/content/Dataset_simple_sketch/test/ant/308.png,ant,ant,ant,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,it is typically obtained from a pterosaur,ant farm ant farm ant farm ant farm ant farm ant farm ant farm ant farm ant farm ant farm
/content/Dataset_simple_sketch/test/cow/4794.png,cow,kangaroo,a line drawing of a cow,a line drawing of a donkey,a line drawing of a cow on a white background,it is typically obtained by drawing a line on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/cow/4798.png,cow,cow,a cow,a line drawing of a cow on a white background,,it is typically obtained by drawing a simple outline of a cow on a white background,"on a farm, on a farm, on a farm, on a farm, on a farm, on a farm,"
/content/Dataset_simple_sketch/test/cow/4735.png,cow,cow,a line drawing of a cow on a white background,a line drawing of a cow on a white background,a line drawing of a cow on a white background,it is typically obtained from a farmer's herd,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/cow/4728.png,cow,cow,a cow,1 credit usd $1,1 credit usd $1 1 credit usd $1 1 credit usd $1 1 credit usd $1 1 credit usd $1 1 credit usd $1,it is typically obtained from a farm,cow coloring pages cow coloring pages cow coloring pages cow coloring pages cow coloring pages cow coloring pages cow coloring pages cow coloring pages cow coloring pages cow coloring pages
/content/Dataset_simple_sketch/test/cow/4781.png,cow,cow,a cow,black and white drawing of a cow on a white background,a drawing of a cow on a white background,it is typically obtained by drawing a picture of a cow on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/cow/4729.png,cow,kangaroo,a line drawing of a sheep on a white background,a line drawing of a sheep on a white background,a line drawing of a sheep on a white background,it is typically obtained by drawing a line on a white background,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/cow/4741.png,cow,cow,a cow,a line drawing of a cow on a white background,a line drawing of a cow on a white background,it is typically obtained by drawing a cow on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/cow/4791.png,cow,kangaroo,a line drawing of a giraffe,a line drawing of a giraffe on a white background,a line drawing of a giraffe on a white background,it is typically obtained from a zoo or zoological park,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/cow/4758.png,cow,cow,a cow,a cow is drawn in a single line on a white background,a cow is drawn on a white background,it is typically obtained by drawing a picture of a cow on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/cow/4748.png,cow,cow,a line drawing of a cow,a line drawing of a cow on a white background,a single line drawing of a cow on a white background,by drawing a single line on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/cow/4734.png,cow,cow,a bull,a line drawing of a bull on a white background,a drawing of a bull on a white background,it is typically obtained by drawing a bull on a white background,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/cow/4757.png,cow,cow,a cow,a line drawing of a cow on a white background,,it is typically obtained by drawing a simple outline of a cow on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/cow/4751.png,cow,cow,a line drawing of a cow on a white background,a line drawing of a cow on a white background,a line drawing of a cow on a white background,it is typically obtained by drawing a simple outline of a cow on a white background,"on a t-shirt, on a mug, on a t-shirt, on a shirt, on a"
/content/Dataset_simple_sketch/test/cow/4782.png,cow,cow,cow,1 credit usd $1 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1,1 credit usd $1 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1,it is typically obtained from a print shop,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/cow/4775.png,cow,cow,a line drawing of a cow on a white background,a line drawing of a cow on a white background,a line drawing of a cow on a white background,it is typically obtained as a print on a t-shirt or a hoodie,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/cow/4737.png,cow,cow,a cow,a line drawing of a cow on a white background,a line drawing of a cow on a white background,it is usually obtained from a farm,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/alarm clock/82.png,alarm clock,alarm clock,clock,a drawing of an alarm clock on a white background,alarm clock,it is typically obtained from a doodle on a white background,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/alarm clock/104.png,alarm clock,alarm clock,a clock,a line drawing of a clock with an arrow,a single line drawing of a clock,it is typically obtained by drawing a line on a white background,"clocks, watches, alarm clocks, watches, clocks, clocks, clocks, clocks, clocks, clocks, clock"
/content/Dataset_simple_sketch/test/alarm clock/140.png,alarm clock,teddy-bear,a clock with an arrow on it,a drawing of a house with a clock on it,a pencil,from a doodle on a piece of paper,"clocks, clocks, clocks, clocks, clocks, clocks, clocks, clocks, clocks, clocks,"
/content/Dataset_simple_sketch/test/alarm clock/101.png,alarm clock,alarm clock,a teddy bear,a drawing of a face with two arrows pointing in different directions,how to draw a face with a teddy bear on it,by drawing a face on a piece of paper,"on a clock, on a clock radio, on a clock radio, on a clock radio, on a clock radio, on"
/content/Dataset_simple_sketch/test/alarm clock/126.png,alarm clock,alarm clock,clock,a drawing of a clock on a white background,a clock on a white background,it is typically obtained from a doodle,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/alarm clock/115.png,alarm clock,alarm clock,a clock,a line drawing of a clock on top of a rock,a clock on top of a rock,it is typically obtained from a sand dune or a sand pit,a clock on a wall clock on a wall clock on a wall clock on a wall clock on a wall clock on
/content/Dataset_simple_sketch/test/alarm clock/90.png,alarm clock,alarm clock,a teddy bear,a drawing of a clock with an arrow pointing in the direction of the clock,how to draw a clock on a white background,it is typically obtained by drawing a line on a white background with a pen,"a clock on a wall, a clock on a wall, a clock on a wall, a clock on a"
/content/Dataset_simple_sketch/test/alarm clock/111.png,alarm clock,alarm clock,a clock,doodle drawing of an alarm clock,a drawing of an alarm clock on a white background,it is a drawing of an alarm clock on a white background,"alarm clocks, alarm clocks, alarm clocks, alarm clocks, alarm clocks, alarm clocks, alarm clocks, alarm clock"
/content/Dataset_simple_sketch/test/alarm clock/97.png,alarm clock,alarm clock,clock,drawing of a clock drawing of a clock drawing of a clock drawing of a clock drawing of a clock drawing of a clock,a clock,by drawing a clock on a piece of paper,a clock on a wall
/content/Dataset_simple_sketch/test/alarm clock/98.png,alarm clock,alarm clock,a clock,price 1 credit usd $1,price 1 credit usd $1,from a doodle,"alarm clocks, alarm clocks, alarm clocks, alarm clocks, alarm clocks, alarm clocks, alarm clocks, alarm clock"
