Path,Category,Can you describe the shape or form of the item?,What details become apparent upon closer inspection of the image?,What role does the item in the image serve?,How is the item typically obtained?,What are some common places where the item might be found or used?
/content/Dataset_simple_sketch/test/hot air balloon/8579.png,hot air balloon,a hot air balloon,the shape of the hot air balloon,it is a hot air balloon,from a hot air balloon,"hot air balloon coloring pages, hot air balloon coloring pages, hot air balloon coloring pages, hot air balloon coloring pages, hot air balloon coloring pages,"
/content/Dataset_simple_sketch/test/hot air balloon/8597.png,hot air balloon,a hot air balloon,there is a hot air balloon in the foreground,a hot air balloon,from a hot air balloon,"a hot air balloon, a hot air balloon, a hot air balloon, a hot air balloon, a hot air balloon,"
/content/Dataset_simple_sketch/test/hot air balloon/8637.png,hot air balloon,a hot air balloon,there is a hot air balloon in the sky,it is a hot air balloon,from a hot air balloon,a hot air balloon coloring page
/content/Dataset_simple_sketch/test/axe/645.png,axe,axe,the axe is a single line drawing,a chisel,from a smith's shop,"in a toolbox, in a toolbox, in a toolbox, in a toolbox, in a toolbox,"
/content/Dataset_simple_sketch/test/axe/650.png,axe,axe,the axe has a curved handle and a curved blade,axe,from a viking axe,"a sledge hammer, a hatchet, a sledge hammer, a hatchet,"
/content/Dataset_simple_sketch/test/axe/713.png,axe,a line drawing of an axe,the axe has a handle and a blade,axe,from a sledge hammer,"kitchens, garages, sheds, sheds, garages, sheds, sheds, sheds, sheds, sheds,"
/content/Dataset_simple_sketch/test/axe/720.png,axe,a line drawing of an axe,the shape of the axe's handle and the shape of the axe's blade,axe,it is typically obtained by slicing a piece of wood with a chisel,"carpenter's shop, carpenter's shop, carpenter's shop, carpenter's shop, carpen"
/content/Dataset_simple_sketch/test/axe/692.png,axe,axe,the axe has a curved handle and a curved blade,axe,from a lumberjack,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/axe/668.png,axe,a hammer,the hammer is shaped like a letter t,letter t,from a hammer and chisel,"a hammer and chisel, a hammer and chisel, a hammer and"
/content/Dataset_simple_sketch/test/axe/700.png,axe,a single line drawing of a stick,it is a single line drawing of a stick,a weapon,from a sailor's sailor's sailor's sailor's sa,"kitchen, bathroom, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware"
/content/Dataset_simple_sketch/test/axe/649.png,axe,a hammer,the axe has a curved handle,a hammer,from a lumberjack,"a carpenter's shop, a construction site, a construction site, a construction site, a construction site, "
/content/Dataset_simple_sketch/test/axe/693.png,axe,axe,the axe has a handle and a head,an axe,from a smith,"in a toolbox, in a toolbox, in a toolbox, in a toolbox, in a toolbox,"
/content/Dataset_simple_sketch/test/axe/659.png,axe,"axe, ax, axe, axe, axe, axe, axe, axe, axe, axe",the axe has a curved handle,axe,from a lumberjack,"a sledge hammer, a hatchet, a hatchet, a hatchet, a hatch"
/content/Dataset_simple_sketch/test/axe/690.png,axe,axe,the axe has a curved handle and a curved blade,axe,from a lumberjack,"in the woods, in the woods, in the woods, in the woods, in the woods, in the woods,"
/content/Dataset_simple_sketch/test/axe/719.png,axe,a single line drawing of a hammer,the hammer is a single line drawing,a hammer,from a blacksmith's shop,"hammer, chisel, chisel hammer, chisel, chisel"
/content/Dataset_simple_sketch/test/axe/657.png,axe,axe,the axe has a curved handle and a curved blade,axe,from a hunter's scabbard,"caves, caves, caves, caves, caves, caves, caves, caves, caves, caves,"
/content/Dataset_simple_sketch/test/axe/696.png,axe,a single line drawing of an axe,the axe is a single line drawing,axe,from a woodworker or carpenter,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/axe/694.png,axe,a single line drawing of an axe,the axe is a single line drawing,a hammer,from a smith's shop,"kitchens, garages, sheds, sheds, garages, sheds, sheds, garages, sheds, sheds,"
/content/Dataset_simple_sketch/test/axe/651.png,axe,"axe, ax, axe, axe, axe, axe, axe, axe, axe, axe",the axe has a handle and a blade,"axe, ax, axe, axe, axe, axe, axe, axe, axe, axe",from a smith,"a sledge hammer, a hatchet, a hatchet, a hatchet, a hatch"
/content/Dataset_simple_sketch/test/cabinet/2903.png,cabinet,a cupboard with four doors,there is a door on the right side of the image,it is a cupboard,from a furniture store,"kitchen, bathroom, bedroom, living room, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom"
/content/Dataset_simple_sketch/test/cabinet/2886.png,cabinet,oblong oblong oblong oblong oblong oblong oblong o,there is a stone with a cross in the middle of it,it is a sarcophagus or a sarcophagus,in the form of a stone sarcophagus or a stone sarcophagus,"caves, caves, caves, caves, caves, caves, caves, caves, caves, caves,"
/content/Dataset_simple_sketch/test/cabinet/2892.png,cabinet,a cabinet with four doors,there are four doors on each side of the cabinet,it is a bookcase,from a thrift store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/cabinet/2930.png,cabinet,sideboard,the drawers are on the right side of the image,a sideboard,from a furniture store,"kitchen, dining room, living room"
/content/Dataset_simple_sketch/test/cabinet/2902.png,cabinet,"drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers,","there is a drawer on the right side of the image, and a drawer on the left side of the image",a dresser,from a furniture store,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/cabinet/2959.png,cabinet,the shape of the item is a rectangle,there is a crease in the middle of the paper,it is a piece of paper,from a newspaper,"in a school library, in a library, in a library, in a library, in a library, in a library"
/content/Dataset_simple_sketch/test/cabinet/2932.png,cabinet,the item is shaped like a square,there is a doorway in the middle of the image,it is a tibetan tibetan tibetan tibetan t,"in the form of a tarot card, a tarot deck, or a tarot card deck","kitchen, bathroom, bedroom, living room, dining room, bedroom, bathroom, kitchen, dining room, living room, bedroom, living room, bedroom"
/content/Dataset_simple_sketch/test/cabinet/2928.png,cabinet,a cube,there is a hole in the middle of the drawing,it is a stack of books,it is typically obtained from a store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/cabinet/2947.png,cabinet,a cabinet with two doors,there is a door on the side of the cabinet,it is a cabinet,from a furniture store,"kitchen, dining room, living room, bedroom, bathroom"
/content/Dataset_simple_sketch/test/cabinet/2907.png,cabinet,a stack of drawers,the number of drawers and the number of drawers in the drawers,a storage unit,from a hardware store,"office, kitchen, bedroom, living room, bathroom"
/content/Dataset_simple_sketch/test/cabinet/2919.png,cabinet,drawers,the drawers are stacked on top of each other,it is a filing cabinet,from a hardware store,drawers of a filing cabinet drawers of a filing cabinet drawers of a filing cabinet drawers of a filing cabinet drawers
/content/Dataset_simple_sketch/test/cabinet/2911.png,cabinet,a nightstand with a lamp and a drawer,there is a lamp on top of the nightstand,a nightstand,from a furniture store,"bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/cabinet/2926.png,cabinet,a cube,there is a door on the right side of the cabinet,a storage unit,from a hardware store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom"
/content/Dataset_simple_sketch/test/cabinet/2908.png,cabinet,the shape of the item is oblong,the shape of the building is a triangle,it is a chair,it is usually obtained from a construction company,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, kitchen, bathroom, bedroom, living room, bedroom, living room"
/content/Dataset_simple_sketch/test/cabinet/2921.png,cabinet,a line drawing of a door,there is a door on the right side of the image,a door,from a hardware store,"kitchen, bathroom, bedroom, living room, dining room, living room, bedroom, bathroom, kitchen, living room, bedroom, bathroom, kitchen,"
/content/Dataset_simple_sketch/test/cabinet/2956.png,cabinet,a line drawing of a piece of furniture,the drawers on the left side of the image are open and the drawers on the right side of the image are closed,a storage compartment,from the manufacturer,"drawers in a dresser, drawers in a dresser, drawers in a dresser, drawers in a dress"
/content/Dataset_simple_sketch/test/stapler/16342.png,stapler,stapler,the stapler has a handle and a blade,stapler stapler stapler stapler stapler stapler stapler stapler stapler stapler stapler stapler stapler stapler stapler,stapler,"staplers, staplers, staplers, staplers, staplers, staplers, staplers, stapler"
/content/Dataset_simple_sketch/test/stapler/16352.png,stapler,a single line drawing of a piece of meat,there is a slit in the middle of the piece of bread,it is a food item,from a pig's scrotum,"in a sandwich, in a sandwich, in a sandwich, in a sandwich, in a sandwich, in a sandwich,"
/content/Dataset_simple_sketch/test/stapler/16367.png,stapler,a line drawing of a stapler,the shape of the stapler,a stapler,from a hardware store,"office supply store, office supply store, office supply store, office supply store, office supply store, office supply store, office supply store, office supply"
/content/Dataset_simple_sketch/test/stapler/16375.png,stapler,oblong,the shape of the handlebars and the shape of the handlebars,a part of a vehicle,from a manufacturer,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/stapler/16395.png,stapler,oblong,the shape of the handle and the shape of the handle,a part of a vehicle's interior,from a local auto parts store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/stapler/16328.png,stapler,a line drawing of a hand with an arrow pointing in the direction of the arrow,the shape of the handle and the shape of the tip of the handle,a splint or a splint splint,from a syringe or syringe syringe or syringe syringe,"kitchen, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchen"
/content/Dataset_simple_sketch/test/stapler/16326.png,stapler,a single line drawing of a teddy bear in a teddy bear teddy bear teddy,it is a one-line drawing of a person sitting in a chair,it is a teddy bear,it is typically obtained from a store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/stapler/16321.png,stapler,a single line drawing of a pair of scissors on a white background,it is a single line drawing of a pair of scissors,it is a pair of scissors,it is usually obtained from a chemist,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/stapler/16366.png,stapler,a line drawing of a stapler on a white background,a single line drawing of a stapler on a white background,a stapler,a stapler is a stapler is a stapler is a stapler is a stapler is a stapler is,"staplers, staplers, staplers, staplers, staplers, staplers, staplers, stapler"
/content/Dataset_simple_sketch/test/stapler/16334.png,stapler,a line drawing of a pair of scissors on a white background,the shape of the handle and the shape of the blade,a utensil or utensil utensil utensil utensil u,it is usually obtained by cutting a piece of wood with a saw or a chisel,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/stapler/16341.png,stapler,oblong,the drawing is a single line drawing of a piece of wood,a part of a piece of meat,from a manufacturer,"kitchen, bathroom, bedroom, living room, dining room, bedroom, bathroom, kitchen, living room, bedroom, bathroom, kitchen, living room,"
/content/Dataset_simple_sketch/test/stapler/16332.png,stapler,a single line drawing of a sandwich,it is a single line drawing of a sandwich,a sandwich,from a sandwich shop,"in a sandwich, on a sandwich, in a sandwich, on a sandwich, on a sandwich, on a sandwich,"
/content/Dataset_simple_sketch/test/stapler/16353.png,stapler,a line drawing of a plane,"there is a slit in the middle of the slit, and a slit in the middle of the slit",it is a part of a structure,it is usually obtained from a museum or art gallery,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, kitchen, bathroom, bedroom, living room, bedroom, living room"
/content/Dataset_simple_sketch/test/stapler/16388.png,stapler,a line drawing of a straightener on a white background,a line drawing of a hair straightener on a white background,a hair straightener,from a hardware store,"a hairdresser's shop, a barber's shop, a hairdresser's shop, a hairdress"
/content/Dataset_simple_sketch/test/stapler/16349.png,stapler,a line drawing of a pencil,a single line is drawn on a white background,it is a utensil or utensil utensil utensil utensil,it is typically obtained from a taiwanese taiwanese taiwanes,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/stapler/16383.png,stapler,a line drawing of a hat,the hat has a curved brim and a curved brim,it is a hat,from a hairdresser,"hats, hats, hats, hats, hats, hats, hats, hat"
/content/Dataset_simple_sketch/test/space shuttle/15782.png,space shuttle,a space shuttle,there is a space shuttle sitting on top of a chair,a space shuttle,from a space shuttle,"space shuttles, rockets, spaceships, spaceships, spaceships, spaceships, spaceships, spaceships"
/content/Dataset_simple_sketch/test/space shuttle/15799.png,space shuttle,a line drawing of a shark,"the shark's tail is curved inwards, and the shark's head is tilted upwards",it's a shark,from a tattoo artist or tattoo parlour,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/space shuttle/15810.png,space shuttle,the shape of the item is a spherical shape,there is a hat on top of the head,it is a chair,in the form of a teddy bear or teddy bear doll,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/space shuttle/15796.png,space shuttle,a single line drawing of a woman wearing a dress,a single line drawing of a woman wearing a dress and a hat,it is a character in a story,it is usually obtained from a taiwanese taiwanese taiwanes,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/space shuttle/15823.png,space shuttle,the shape of the item is a rocket,the shape of the rocket and the shape of the rocket's tail,it is a spaceship,from a spacecraft manufacturer,"children's coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages,"
/content/Dataset_simple_sketch/test/space shuttle/15779.png,space shuttle,a line drawing of a rocket,the shape of the rocket is a spherical shape,it is a drawing of a rocket,from a toy store,"spaceships, rockets, spaceships, spaceships, spaceships, spaceships, spaceships, spaceships"
/content/Dataset_simple_sketch/test/space shuttle/15800.png,space shuttle,shape of the item is a line drawing of a rocket,"there is a spacecraft in the middle of the image, and a rocket in the middle of the image",rocket launcher,from a spacecraft manufacturer,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/space shuttle/15834.png,space shuttle,a line drawing of a mountain,"the shape of the building is a triangle, and the shape of the building is a pyramid",it is a building or structure,from a museum or art gallery,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/space shuttle/15826.png,space shuttle,a plane,the plane has a wing and a tail,a plane,from a plane's wreckage,"airports, airports, airports, airports, airports, airports, airports, airports, airports, airports,"
/content/Dataset_simple_sketch/test/space shuttle/15785.png,space shuttle,a drawing of a rocket,the rocket is shaped like a pencil,it is a rocket,from a rocket launcher,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/space shuttle/15794.png,space shuttle,a line drawing of a rocket,the rocket is shaped like a teddy bear,a spacecraft,from a spacecraft manufacturer,"airplanes, spaceships, rockets, spaceships, spaceships, spaceships, spaceships, spaceships,"
/content/Dataset_simple_sketch/test/space shuttle/15822.png,space shuttle,a rocket,"the rocket is shaped like a rocket, and the rocket is shaped like a rocket",rocket launcher,from a spacecraft manufacturer,"spaceships, rockets, spaceships, rockets, rockets, rockets, rockets, rockets, rockets, rocket"
/content/Dataset_simple_sketch/test/space shuttle/15836.png,space shuttle,a line drawing of a man with a hat,there is a slit in the middle of the sleeve and a slit in the sleeve,it is a spacecraft,it is typically obtained by a sailor,"airplanes, spaceships, spaceships, spaceships, spaceships, spaceships, spaceships, spaceships"
/content/Dataset_simple_sketch/test/space shuttle/15804.png,space shuttle,a line drawing of a plane,"the shape of the plane's wings, the shape of the tail, and the shape of the fuselage",it is a drawing of a plane,from a hobby shop,"airplanes, helicopters, airplanes, helicopters, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/space shuttle/15762.png,space shuttle,a space shuttle,the shape of the space shuttle,a space shuttle,from a spacecraft manufacturer,"airplanes, spaceships, spaceships, spaceships, spaceships, spaceships, spaceships, spaceships"
/content/Dataset_simple_sketch/test/space shuttle/15809.png,space shuttle,a stump with the word nasa written on it,the letter nasa is written on the side of the rock,nasa,from nasa,"nasa, nasa, nasa, nasa, nasa,"
/content/Dataset_simple_sketch/test/couch/4644.png,couch,a single line drawing of a couch,the couch has a back and a seat,it is a sofa,from a furniture store,"a living room, a bedroom, a living room, a bedroom, a living room, a living room, a"
/content/Dataset_simple_sketch/test/couch/4648.png,couch,the shape of the item is a rectangle,"the shape of the bag is a rectangle, and the shape of the bag is a triangle",it is a piece of bread,from a bakery,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/couch/4707.png,couch,a line drawing of a pillow,the image is a line drawing of a pillow,a pillow,from a store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/couch/4658.png,couch,couch,the couch has a back and a seat,a chair,from a furniture store,"bedroom, living room, living room, bedroom, living room, bedroom, living room, bedroom, living room, bedroom, living room, bedroom,"
/content/Dataset_simple_sketch/test/couch/4666.png,couch,a line drawing of a chair,the shape of the armrests and the shape of the back of the chair,a chair,from a furniture store,"a living room, a bedroom, a dining room, a living room, a bedroom, a living room, a"
/content/Dataset_simple_sketch/test/couch/4671.png,couch,a teddy bear,there is a slit in the middle of the couch,it is a couch,from a furniture store,"sofa, bed, chair, bedside table, bedside table, bedside table, bedside table, bedside table, bedside table,"
/content/Dataset_simple_sketch/test/couch/4653.png,couch,the shape of the item is a couch,the shape of the couch,it is a sofa,from a furniture store,"a living room, a bedroom, a living room, a bedroom, a living room, a living room, a"
/content/Dataset_simple_sketch/test/couch/4641.png,couch,the item is shaped like a couch,the couch has a back and a seat,it is a couch,from a furniture store,"bedroom, living room, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom"
/content/Dataset_simple_sketch/test/couch/4694.png,couch,a single line drawing of a couch,the chair has a back and a seat,a chair,from a furniture store,"bedroom, living room, living room, bedroom, living room, bedroom, living room, bedroom, living room, bedroom, living room, bedroom,"
/content/Dataset_simple_sketch/test/couch/4683.png,couch,the shape of the item is a sofa,the sofa has a cushioned seat and backrest,a sofa,from a furniture store,"bedroom, living room, bedroom, living room, bedroom, living room, bedroom, living room, bedroom, living room, bedroom, living room,"
/content/Dataset_simple_sketch/test/couch/4651.png,couch,a single line drawing of a sofa,the shape of the couch,a sofa,from a furniture store,"a living room, a bedroom, a living room, a bedroom, a living room, a living room, a"
/content/Dataset_simple_sketch/test/couch/4693.png,couch,a sofa,the sofa has a curved back and armrests,a sofa,from a furniture store,"a living room, a bedroom, a dining room, a living room, a bedroom, a living room, a"
/content/Dataset_simple_sketch/test/couch/4704.png,couch,a line drawing of a couch,the couch has a curved back and armrests,a seat,from a furniture store,"a living room, a bedroom, a dining room, a living room, a bedroom, a living room, a"
/content/Dataset_simple_sketch/test/couch/4672.png,couch,the shape of the item is a sofa,the couch has a back and a seat,a sofa,from a furniture store,"a living room, a bedroom, a living room, a bedroom, a living room, a living room, a"
/content/Dataset_simple_sketch/test/couch/4656.png,couch,a line drawing of a chair,the chair has a back and a seat,it is a chair,from a furniture store,"kitchen, dining room, living room, bedroom"
/content/Dataset_simple_sketch/test/couch/4675.png,couch,a line drawing of a sofa,the sofa has a curved back and armrests,a sofa,from a furniture store,"bedroom, living room, dining room"
/content/Dataset_simple_sketch/test/submarine/16616.png,submarine,a line drawing of a boat on a white background,the shape of the boat is oblique,it is a boat,from a ship's hull,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/submarine/16591.png,submarine,a submarine,the submarine is shaped like an octopus,a submarine,from a toy store,"toy stores, toy stores, toy stores, toy stores, toy stores, toy stores, toy stores, toy"
/content/Dataset_simple_sketch/test/submarine/16600.png,submarine,a single line drawing of a submarine,the submarine is a single line drawing,a submarine,from a doodle artist,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/submarine/16561.png,submarine,a doodle drawing of a submarine,there is a spherical object in the middle of the image,a submarine,in the form of a doodle on a white background,"airplanes, spaceships, spaceships, spaceships, spaceships, spaceships, spaceships, spaceships"
/content/Dataset_simple_sketch/test/submarine/16572.png,submarine,a submarine,"the shape of the submarine's bow and stern, as well as the shape of the submarine's bow and stern",submarine,in the form of a drawing of a submarine on a white background,"submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines,"
/content/Dataset_simple_sketch/test/submarine/16620.png,submarine,submarine,a submarine is drawn on a white background,a submarine,from a doodle artist's etsy shop,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/submarine/16625.png,submarine,a submarine,"the shape of the submarine's bow and stern, as well as the shape of the submarine's bow and stern",submarine,in the form of a drawing of a submarine on a white background,"submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines,"
/content/Dataset_simple_sketch/test/submarine/16576.png,submarine,a line drawing of a submarine on a white background,"the shape of the submarine's bow and stern, as well as the shape of the bow and stern, as well as the shape of",submarine,in the form of a drawing on a white background,"submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines,"
/content/Dataset_simple_sketch/test/submarine/16596.png,submarine,the shape of the item is a squid,it is a drawing of a squid,it's a squid,from a fisherman's net,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/submarine/16578.png,submarine,airplane,the plane has a wing and a tail,it is a drawing of a plane,from a child's imagination,airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages
/content/Dataset_simple_sketch/test/submarine/16609.png,submarine,a line drawing of a submarine,the shape of the submarine's hull and the shape of the bow and stern,submarine,from a submarine manufacturer,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/submarine/16622.png,submarine,a line drawing of a boat,the shape of the boat is a spherical shape with a bow and a stern,a submarine,from a toy store,"toy stores, toy stores, toy stores, toy stores, toy stores, toy stores, toy stores, toy"
/content/Dataset_simple_sketch/test/submarine/16629.png,submarine,a submarine,the submarine is drawn in black and white,a submarine,from a tattoo parlour,"on t-shirts, hats, hats, hats, hats, hats, hats,"
/content/Dataset_simple_sketch/test/submarine/16640.png,submarine,a submarine,the submarine has a flag on it,submarine,in the form of a doodle on a white background,"submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines,"
/content/Dataset_simple_sketch/test/submarine/16592.png,submarine,a doodle of a submarine,the drawing is a doodle of a submarine,a submarine,it is usually obtained from a toy store or from a toy manufacturer,"submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines, submarines,"
/content/Dataset_simple_sketch/test/submarine/16603.png,submarine,a submarine,there is a submarine in the water,a submarine,in the form of a submarine,in a coloring book
/content/Dataset_simple_sketch/test/mailbox/10111.png,mailbox,a line drawing of a mailbox with a flag on it,it is a single line drawing of a mailbox with a flag on it,a mail box,from a mail carrier,mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes
/content/Dataset_simple_sketch/test/mailbox/10129.png,mailbox,a single line drawing of a stick,a single line drawing of a pole with a stick in the middle of it,it is a flag,it is typically obtained from a teepee or a teepee,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom"
/content/Dataset_simple_sketch/test/mailbox/10113.png,mailbox,a line drawing of a sleeping bag,there is a slit in the middle of the image,it is a bed,from a manufacturer,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/mailbox/10090.png,mailbox,hat,there is a hat on top of the mailbox,mail box,from a mail carrier,mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes
/content/Dataset_simple_sketch/test/mailbox/10133.png,mailbox,a line drawing of a mailbox,the shape of the mailbox and the shape of the post,mail box,from a post office,mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes
/content/Dataset_simple_sketch/test/mailbox/10128.png,mailbox,the shape of the item is a line drawing,there is a curved line in the middle of the image,it is a line drawing of an object,it is usually obtained from a tattoo artist or tattoo parlour,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/mailbox/10117.png,mailbox,the shape of the item is a mailbox,there is a mailbox on the right side of the image,mail box,from a post office,mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes
/content/Dataset_simple_sketch/test/mailbox/10103.png,mailbox,a mail box,there is a pair of shoes in the mail box,mail box,from a mail box,mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes
/content/Dataset_simple_sketch/test/mailbox/10095.png,mailbox,the item is shaped like a mailbox,the letter p is written on the side of the box,a mail box,from a post office,"mailboxes, mailboxes, mailboxes, mailboxes, mailboxes, mailboxes, mailboxes, mailboxe"
/content/Dataset_simple_sketch/test/mailbox/10106.png,mailbox,a line drawing of a mailbox,the shape of the mailbox is a cylinder with a handle,mail box,from a post office,mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes
/content/Dataset_simple_sketch/test/mailbox/10093.png,mailbox,a mail box,there is a door on the side of the box,mail box,from a post office,mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes
/content/Dataset_simple_sketch/test/mailbox/10114.png,mailbox,the shape of the item is a rectangle,the shape of the letter '7' is a triangle,it is a mail box,in a mail box,"mailboxes, mailboxes, mailboxes, mailboxes, mailboxes, mailboxes, mailboxes, mailboxe"
/content/Dataset_simple_sketch/test/mailbox/10134.png,mailbox,the shape of the item is a mailbox,"the shape of the mailbox is oblong, and the shape of the mailbox is oblong",mail box,from a mail carrier,mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes
/content/Dataset_simple_sketch/test/mailbox/10118.png,mailbox,postbox,there is a postbox in the middle of the image,postbox,from the post office,mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes
/content/Dataset_simple_sketch/test/mailbox/10112.png,mailbox,a line drawing of a mailbox,the shape of the mailbox is slanted to the right,mail box,from a mail carrier,mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes
/content/Dataset_simple_sketch/test/mailbox/10127.png,mailbox,oblong,"the shape of the box is oblong, and the shape of the lid is oblong",a mail box,from a mail carrier,"mailboxes, mailboxes, mailboxes, mailboxes, mailboxes, mailboxes, mailboxes, mailboxe"
