Path,Category,Prediction,Can you describe the shape or form of the item?,What details become apparent upon closer inspection of the image?,What role does the item in the image serve?,How is the item typically obtained?,What are some common places where the item might be found or used?
/content/Dataset_simple_sketch/test/space shuttle/15766.png,space shuttle,a line drawing,a line drawing of a person,the image is a single line drawing of a person with a hat on,it is a line drawing of a person,it is typically obtained as a gift from a friend or family member,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/space shuttle/15807.png,space shuttle,airplane,a line drawing of a plane,the shape of the plane's wings and the shape of the plane's tail,a drawing of a plane,from a hobbyist,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/space shuttle/15825.png,space shuttle,a teddy bear,the shape of the item is a line drawing of a spaceship,the shape of the wings and the shape of the body,as a character in a comic book,from a comic book store,"airplanes, spaceships, spaceships, spaceships, spaceships, spaceships, spaceships, spaceships"
/content/Dataset_simple_sketch/test/space shuttle/15765.png,space shuttle,space shuttle,a line drawing of a space shuttle,there is a space shuttle in the background,a space shuttle,from a space shuttle launch,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/space shuttle/15799.png,space shuttle,a shark,a line drawing of a shark,"the shark's tail is curved inwards, and the shark's head is tilted upwards",it's a shark,from a tattoo artist or tattoo parlour,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/cow/4735.png,cow,cow,a line drawing of a cow,the cow has a long neck and a long snout,it is a cow,from a farm,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/cow/4798.png,cow,cow,a line drawing of a cow on a white background,the outline of the cow is drawn in a straight line,a cow,from a farm,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/cow/4734.png,cow,bull,a bull with horns,the bull has horns and a horned head,a bull,from a tarot card or a tarot card deck,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/cow/4775.png,cow,a drawing of a cow,a line drawing of a cow,the drawing is a single line drawing of a cow,it is a cow,from a farm,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/cow/4781.png,cow,cow,a drawing of a cow,the cow has horns and a long neck,a cow,from a farm,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/cow/4728.png,cow,cow,a cow,the cow has long horns,a cow,from a farm,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/cow/4748.png,cow,cow,a line drawing of a cow,the cow's head is tilted to the side,a cow,from a farm,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/cow/4782.png,cow,cow,a doodle of a cow,the cow is wearing a cowboy hat and is wearing a cowboy hat,a cow,a credit usd $1,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/cow/4791.png,cow,a giraffe,a line drawing of a giraffe,"the animal is a giraffe, and the giraffe's head is tilted to the side",it is a character in a comic book,from a zoo,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/cow/4751.png,cow,cow,a line drawing of a cow,the cow is a single line drawing of a cow,a cow,from a farmer's market,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/cow/4737.png,cow,cow,a line drawing of a cow,the cow has long horns,a farm animal,from a farm,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/cow/4758.png,cow,cow,a line drawing of a cow,the cow's head is tilted to the side,a character in a story,"from a zoo, zoo, zoo, zoo, zoo, z","in a children's book, on a coloring page, in a coloring book, on a poster, in a greeting card"
/content/Dataset_simple_sketch/test/cow/4794.png,cow,a drawing of a donkey,a line drawing of a cow,there is a horn on the animal's head,a character in a story,"from a zoo, zoo, zoo, zoo, zoo, z","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/cow/4757.png,cow,cow,a line drawing of a cow on a white background,the cow's head is tilted to the side,a cow,from a farm,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/cow/4741.png,cow,cow,a line drawing of a cow,the cow's head is tilted to the side,a cow,from a farm,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/cow/4729.png,cow,a line drawing of a sheep,a line drawing of a sheep,a line drawing of a sheep,a character in a story,"from a zoo, zoo, zoo, zoo, zoo, z","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/pumpkin/13184.png,pumpkin,pumpkin,the shape or form of the item is a pumpkin,the pumpkin is shaped like a pumpkin,it is a pumpkin,from a pumpkin patch,"pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch,"
/content/Dataset_simple_sketch/test/pumpkin/13129.png,pumpkin,pumpkin,the shape or form of the item is a pumpkin,the pumpkin is shaped like a pumpkin,it is a pumpkin,in the form of a pumpkin,"pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch,"
/content/Dataset_simple_sketch/test/pumpkin/13172.png,pumpkin,pumpkin,the shape or form of the item is a pumpkin,the shape of the pumpkin,it is a pumpkin,from a pumpkin patch,"pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch,"
/content/Dataset_simple_sketch/test/pumpkin/13163.png,pumpkin,apple,the shape or form of the item is a single line drawing of an apple,the shape of the apple is oblique and the shape of the apple is oblique and the shape of the apple is o,is it a fruit or a vegetable?,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/pumpkin/13176.png,pumpkin,pumpkin,a single line drawing of a pumpkin,"the shape of the pumpkin is oblong, and the shape of the stem is oblong",it is a pumpkin,in the form of a pumpkin,"pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch,"
/content/Dataset_simple_sketch/test/pumpkin/13169.png,pumpkin,pumpkin,the shape of the item is a pumpkin,"the shape of the pumpkin is oblong, and the shape of the stem is oblong",it is a vegetable,from a farmer's market,"pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch,"
/content/Dataset_simple_sketch/test/pumpkin/13148.png,pumpkin,pumpkin,pumpkin,the pumpkin has a slit in the middle of it's face,it is a jack-o-lantern,in the form of a jack-o-lantern,"pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch,"
/content/Dataset_simple_sketch/test/pumpkin/13171.png,pumpkin,nut,pear,the shape of the fruit is oblong,it is a fruit,from a tree,"grocery store, bakery, bakery, bakery, bakery, bakery, bakery, bakery, bakery, bakery, bakery, bakery, bakery, bakery, bakery"
/content/Dataset_simple_sketch/test/pumpkin/13190.png,pumpkin,pumpkin,the shape or form of the item is a pumpkin,the pumpkin is shaped like a pumpkin,it is a pumpkin,from a pumpkin patch,"pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch,"
/content/Dataset_simple_sketch/test/pumpkin/13194.png,pumpkin,pumpkin,spherical,the shape of the pumpkin,it is a lamp,in the form of a pumpkin,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, dining room, bedroom, living room, bedroom, living room,"
/content/Dataset_simple_sketch/test/pumpkin/13200.png,pumpkin,pumpkin,the shape or form of the item is a pumpkin,the shape of the pumpkin,it is a pumpkin,from a pumpkin patch or from a farmer's market,"pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch,"
/content/Dataset_simple_sketch/test/pumpkin/13178.png,pumpkin,pumpkin,a pumpkin,the shape of the pumpkin,it is a pumpkin,from a pumpkin patch,"pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch,"
/content/Dataset_simple_sketch/test/pumpkin/13143.png,pumpkin,pumpkin,pumpkin,the jack o lantern has a slit in the middle of it's face,it is a jack-o-lantern,from a jack-o-lantern,"pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch,"
/content/Dataset_simple_sketch/test/pumpkin/13121.png,pumpkin,pumpkin,the shape or form of the item is a pumpkin,the shape of the pumpkin,it is a pumpkin,from a pumpkin patch,"pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch,"
/content/Dataset_simple_sketch/test/pumpkin/13191.png,pumpkin,pumpkin,a single line drawing of a pumpkin,the shape of the pumpkin is symmetrical,it is a single line drawing of a pumpkin,from a pumpkin patch or farmer's market,"pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch,"
/content/Dataset_simple_sketch/test/pumpkin/13124.png,pumpkin,pumpkin,the shape of the item is a pumpkin,the pumpkin is shaped like a pumpkin,it is a pumpkin,from a pumpkin patch,"pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch,"
/content/Dataset_simple_sketch/test/alarm clock/97.png,alarm clock,alarm clock,a clock,there is a clock on top of a table,it is a clock,from a clock repair shop,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/alarm clock/119.png,alarm clock,alarm clock,a drawing of an alarm clock,the clock has two hands and a clock face,alarm clock,from an alarm clock manufacturer,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/alarm clock/98.png,alarm clock,alarm clock,a clock,the clock has a clock face and a clock hands,alarm clock,from a clock shop,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/alarm clock/156.png,alarm clock,alarm clock,the shape of the item is a clock,there is a slit in the middle of the clock's face,a clock,from a taiwanese taiwanese taiwanese ta,"clocks, clock radios, alarm clocks, clock radios, alarm clocks, clock radios, clock radios, clock radios"
/content/Dataset_simple_sketch/test/alarm clock/104.png,alarm clock,alarm clock,heart shape,there is a clock in the shape of a heart with an arrow pointing in the direction of the heart,a clock,from a medical professional,"clocks, watches, alarm clocks, watches, clocks, clocks, clocks, clocks, clocks, clocks, clock"
/content/Dataset_simple_sketch/test/alarm clock/96.png,alarm clock,alarm clock,the shape of the item is a clock,the clock has a clock face with a clock face with a clock face with a clock face with a clock face with a,alarm clock,from a clock shop,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/alarm clock/111.png,alarm clock,alarm clock,a clock,there is a clock in the middle of the image,alarm clock,from a doodle artist,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/alarm clock/82.png,alarm clock,alarm clock,a clock,the clock is plugged into a wall outlet,alarm clock,from a hardware store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/alarm clock/106.png,alarm clock,alarm clock,a drawing of a clock,the clock has a clock face and a clock hands,alarm clock,a credit usd $1,"alarm clocks, alarm clocks, alarm clocks, alarm clocks, alarm clocks, alarm clocks, alarm clocks, alarm clock"
/content/Dataset_simple_sketch/test/alarm clock/101.png,alarm clock,alarm clock,shape of the item is round,there is a slit in the middle of the face and a slit in the left side of the face,it is a clock,it is usually obtained by drawing a face on a piece of paper,"a clock, a clock radio, a clock radio, a clock radio, a clock radio, a clock radio, "
/content/Dataset_simple_sketch/test/alarm clock/115.png,alarm clock,alarm clock,a clock on top of a rock,there is a clock on top of a rock,a clock,from a sand pit or a sand dune,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/alarm clock/157.png,alarm clock,teddy bear,a teddy bear,the bear is wearing a hat,as a mascot,from a teddy bear teddy bear teddy bear teddy bear teddy bear t,"on a t-shirt, on a shirt, on a shirt, on a shirt, on a shirt, on "
/content/Dataset_simple_sketch/test/alarm clock/90.png,alarm clock,alarm clock,the item is shaped like a teddy bear,there is a clock in the shape of a teddy bear,it is a clock,from a pawn shop,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/alarm clock/126.png,alarm clock,alarm clock,a clock,there is a clock in the background,a clock,from a hardware store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/alarm clock/140.png,alarm clock,alarm clock,a house with a clock on it,there is a clock in the middle of the image,it is a clock,from a doodle,"clocks, clocks, clocks, clocks, clocks, clocks, clocks, clocks, clocks, clocks,"
/content/Dataset_simple_sketch/test/alarm clock/155.png,alarm clock,alarm clock,a clock,there is a clock in the middle of the image,an alarm clock,from a clockmaker,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/cell phone/3942.png,cell phone,cell phone,the shape of the item is a rectangle,there is a hole in the middle of the drawing,it's a phone,from a bakery,"ipad, ipad mini, ipad pro, ipad air, ipad mini, ipad pro, "
/content/Dataset_simple_sketch/test/cell phone/3950.png,cell phone,cell phone,a cell phone,the phone is a nokia e71,it is a cell phone,from a mobile phone store,"in a car, on a plane, in a hotel room, in a restaurant, in a hotel room, in a"
/content/Dataset_simple_sketch/test/cell phone/3992.png,cell phone,cell phone,a line drawing of a cell phone,there is a phone in the middle of the image,it is a cell phone,from a mobile phone store,"in a car, on a plane, in a hotel room, in a restaurant, in a hotel room, in a"
/content/Dataset_simple_sketch/test/cell phone/3937.png,cell phone,cell phone,the shape of the item is a cell phone,"the phone has a screen, a speaker, and a microphone",it is a mobile phone,from a mobile phone store,"cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones,"
/content/Dataset_simple_sketch/test/cell phone/3976.png,cell phone,cell phone,the shape of the item is a cell phone,"the phone has a screen, buttons, and a screen protector",it is a cell phone,from a mobile phone store,"in a car, in a pocket, in a purse, in a pocketbook, in a purse, in a pocket"
/content/Dataset_simple_sketch/test/cell phone/3922.png,cell phone,cell phone,it is a cell phone,"the phone has a screen, a speaker, and a screen protector",it is a cell phone,from a cell phone store,"in a car, in a pocket, in a purse, in a pocketbook, in a purse, in a pocket"
/content/Dataset_simple_sketch/test/cell phone/3929.png,cell phone,cell phone,a doodle of a cell phone,the phone has a screen and a keypad,it is a cell phone,from a mobile phone store,"cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones,"
/content/Dataset_simple_sketch/test/cell phone/3959.png,cell phone,cell phone,it is a cell phone,the phone has a screen and a keypad,it is a cell phone,from a mobile phone store,"in a car, on a plane, in a hotel room, in a restaurant, in a hotel room, in a"
/content/Dataset_simple_sketch/test/cell phone/3926.png,cell phone,cell phone,the shape of the item is a rectangle,the device is a floppy disk drive,a storage device,from a computer store,"computer, cell phone, mp3 player, mp4 player, mp3 player, mp3 player, mp3 player,"
/content/Dataset_simple_sketch/test/cell phone/3974.png,cell phone,cell phone,the item is a cell phone,the phone has a rectangular shape with a rounded top and bottom,it is a cell phone,from a mobile phone store,"cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones,"
/content/Dataset_simple_sketch/test/cell phone/3998.png,cell phone,cell phone,the shape of the item is a cell phone,the phone has a screen and a keypad,it is a cell phone,from a mobile phone store,"in a car, in a pocket, in a purse, in a pocketbook, in a purse, in a pocket"
/content/Dataset_simple_sketch/test/cell phone/3962.png,cell phone,cell phone,a single line drawing of a cell phone,there is a banana on the screen of the phone,a phone,from a mobile phone,"in a car, on a plane, on a train, in a restaurant, on a bus, on a train,"
/content/Dataset_simple_sketch/test/cell phone/4000.png,cell phone,cell phone,a cell phone,there is a screen on the phone,it's a phone,from a cell phone carrier,"cell phones, tablets, laptops, ipads, ipods, ipods, ipods, i"
/content/Dataset_simple_sketch/test/cell phone/3958.png,cell phone,cell phone,the shape of the item is rectangular,the phone is a blackberry,it is a cell phone,from a cell phone store,"a cell phone, a calculator, a calculator, a calculator, a calculator, a calculator, a calculator, "
/content/Dataset_simple_sketch/test/cell phone/3948.png,cell phone,cell phone,a cell phone,the shape of the phone's screen and the shape of the phone's buttons,it is a mobile phone,from a mobile phone store,"cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones, cell phones,"
/content/Dataset_simple_sketch/test/cell phone/3945.png,cell phone,cell phone,a cell phone,"the phone is a flip phone with a screen that reads 1, 2, 3, 4, 5, and 6",a calculator,from a cell phone store,"cell phones, calculators, calculators, calculators, calculators, calculators, calculators, calculators, calculators, calculators,"
/content/Dataset_simple_sketch/test/dragon/5683.png,dragon,dragon,the shape of the item is a dragon,the dragon has a long tail and a large head,it is a drawing of a dragon,in the form of a toy,"in a coloring book, in a coloring book, in a coloring book, in a coloring book, in a coloring book,"
/content/Dataset_simple_sketch/test/dragon/5696.png,dragon,dragon,the item is shaped like a dragon,the dragon has a long tail and a snout,it is a drawing of a dragon,it is usually obtained as a gift from a friend or family member,"children's coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages,"
/content/Dataset_simple_sketch/test/dragon/5726.png,dragon,a drawing of a dragon,a line drawing of a dragon,the dragon is drawn with a pen and ink,a character in a children's book,in a coloring book,"children's books, coloring books, coloring pages, coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring"
/content/Dataset_simple_sketch/test/dragon/5707.png,dragon,a bird,line drawing of a bird,there is a wing on the bird's back,as a character in a game,"from a zoo, aquarium, or zoo","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/dragon/5692.png,dragon,dragon,the shape of the item is a dragon,the dragon has a long tail and a slender body,chinese zodiac symbol,from a chinese fortune teller,"chinese zodiac, chinese zodiac symbols, chinese zodiac symbols, chinese"
/content/Dataset_simple_sketch/test/dragon/5681.png,dragon,dragon,the item is a drawing of a dragon,the dragon's wingspan is long and the tail is long,a character in a story,in a dungeon or dungeons and dragons game,"in a children's book, in a children's story, in a children's storybook, in a children'"
/content/Dataset_simple_sketch/test/dragon/5723.png,dragon,dragon,the item is shaped like a dragon,the dragon's mouth is open and the dragon's head is tilted to the side,a character in a story,"in the form of a t-shirt, sweatshirt, hoodie, or hooded sweatshirt","in a coloring book, in a coloring book, in a coloring book, in a coloring book, in a coloring book,"
/content/Dataset_simple_sketch/test/dragon/5688.png,dragon,dinosaur,t-rex,the dinosaur is a t-rex,a dinosaur coloring page,"from a zoo, aquarium, or zoo","dinosaur coloring pages, dinosaur coloring pages, dinosaur coloring pages, dinosaur coloring pages, dinosaur coloring pages, dinosaur coloring pages, dinosaur coloring pages, dinosaur coloring"
/content/Dataset_simple_sketch/test/dragon/5711.png,dragon,pokemon,the shape of the item is a bird,there is a wing on the back of the bird,pokemon coloring pages,in the form of a pokemon card,"pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages,"
/content/Dataset_simple_sketch/test/dragon/5756.png,dragon,pokemon,the shape of the item is a line drawing of a dragon,"the dragon's tail is drawn in a zigzag pattern, and the dragon's head is drawn in a zigza",a character in a video game,in the form of a pokemon card,"pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages,"
/content/Dataset_simple_sketch/test/dragon/5724.png,dragon,pokemon,the shape of the item is a line drawing of a fish,the fish has a long tail and a slender body,a character in a video game,in the form of a pokemon card,"pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages,"
/content/Dataset_simple_sketch/test/dragon/5698.png,dragon,a dragon,the item is in the shape of a dragon,the dragon is holding a stick in its mouth,a dragon coloring page,from a chinese taiwanese taiwanese taiwanes,"children's coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages,"
/content/Dataset_simple_sketch/test/dragon/5719.png,dragon,letter s,letter s,the letter s is drawn in the shape of a snake,letter s,from a tattoo parlour,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/dragon/5749.png,dragon,a dinosaur,a line drawing of a dinosaur,there is a line drawing of a dinosaur with a bird in its mouth,it's a dinosaur,"from a zoo, aquarium, or zoo","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/dragon/5715.png,dragon,a teddy bear,a line drawing of a dragon,the dragon is holding a sword in one hand and a sword in the other,a character in a video game,in a dungeon or dungeons and dragons game,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/dragon/5709.png,dragon,a line drawing of a dragon,a line drawing of a dragon,the shape of the dragon's wings and the shape of its body,it is a line drawing of a dragon,from a tattoo artist,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/satellite dish/14216.png,satellite dish,intestine,the shape of the item is oblong,"the shape of the intestines, the shape of the intestines, the shape of the intestines, the shape of",a part of the digestive system,"in the form of a syringe, a needle, or a syringe syringe","in the kitchen, in the bathroom, in the kitchen, in the bathroom, in the kitchen, in the bathroom, in the kitchen, in the"
/content/Dataset_simple_sketch/test/satellite dish/14195.png,satellite dish,tv,a line drawing of a man holding a tv remote,the man is wearing a hat,it is a communication device,from a telecommunications company,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/satellite dish/14228.png,satellite dish,tv,spherical spherical spherical spherical spherical spherical,the image is a line drawing of a satellite dish,it is a satellite dish,from a telecommunications company,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/satellite dish/14215.png,satellite dish,a teddy bear,the shape of the item is spherical,"the shape of the head, the shape of the body, the shape of the arms, the shape of the legs, and the shape of the feet",it is a spherical object with a spherical axis,in the form of a teddy bear or teddy bear teddy bear,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/satellite dish/14173.png,satellite dish,a teddy bear,the shape of the item is a spherical object,the shape of the object is a spherical object with a spherical tip and a spher,it is a slingshot,from a manufacturer,"airplanes, helicopters, gliders, and gliders"
/content/Dataset_simple_sketch/test/satellite dish/14225.png,satellite dish,a teddy bear,spherical,the shape of the spherical object is a spherical spherical spherical s,it is a spherical object with a spherical shape,in the form of a teddy bear or teddy bear doll,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/satellite dish/14191.png,satellite dish,ice cream cone,the shape of the item is a cone,"the shape of the ice cream cone is shaped like a cone, and the shape of the ice cream cone is shaped like ",ice cream cone,it is typically obtained from a taiwanese taiwanese taiwanes,"ice cream parlors, ice cream parlors, ice cream parlors, ice cream parlors, ice"
/content/Dataset_simple_sketch/test/satellite dish/14235.png,satellite dish,teddy bear,spherical,the shape of the object is a spherical object with a spherical top and a spher,it is a toy,from a florist,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/satellite dish/14161.png,satellite dish,umbrella,the shape of the item is a circle,the shape of the umbrella is a spherical shape,it is a hat,in the form of a teddy bear,"in a garden, on a beach, in a park, on a boat, in a boathouse, on a boat"
/content/Dataset_simple_sketch/test/satellite dish/14189.png,satellite dish,pear,pear,the shape of the pear is oblique and the shape of the pear is oblique and the shape of the pear,it is a fruit or vegetable,in the form of a pear,"pear, apple, pear apple, pear apple, pear apple, pear apple, pear apple, pear apple, pe"
/content/Dataset_simple_sketch/test/satellite dish/14207.png,satellite dish,a spherical object,spherical spherical spherical spherical spherical spherical,the shape of the object is a spherical object with a spherical top and a spher,a light source,from a hardware store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/satellite dish/14201.png,satellite dish,a lollipop,a circle with a hole in the middle,there is a hole in the middle of the lollipop,it is a food item,in the form of a lollipop,ice cream parlors ice cream parlors ice cream parlors ice cream parlors ice cream parlors
/content/Dataset_simple_sketch/test/satellite dish/14187.png,satellite dish,toilet paper,a teddy bear,"there is a hole in the middle of the drawing, and a hole in the middle of the drawing",it's a toilet paper holder,it is typically obtained from a dentist or dental surgeon,toilet paper holder toilet paper holder toilet paper holder toilet paper holder toilet paper holder toilet paper holder toilet paper holder toilet paper
/content/Dataset_simple_sketch/test/satellite dish/14186.png,satellite dish,a satellite,a spherical object,the shape of the object is a spherical shape,it is a satellite,in the form of a tethered satellite,"airplanes, helicopters, and spacecraft"
/content/Dataset_simple_sketch/test/satellite dish/14237.png,satellite dish,a teddy bear,a line drawing of a person,the figure is wearing a t-shirt and a pair of shorts,it is a teddy bear,it is typically obtained by drawing a continuous line on a white background,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/satellite dish/14177.png,satellite dish,eyeglasses,the shape of the item is spherical,the shape of the ear and the shape of the nose,as a guide for the user,from a manufacturer,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/binoculars/1770.png,binoculars,boxing gloves,a pair of boxing gloves,a pair of boxing gloves and a pair of boxing gloves,boxing gloves,from a boxer's boxing gloves,boxing gloves boxing gloves boxing gloves boxing gloves boxing gloves boxing gloves boxing gloves boxing gloves boxing gloves boxing gloves
/content/Dataset_simple_sketch/test/binoculars/1825.png,binoculars,binoculars,binoculars,the binoculars are shaped like a pair of binoculars,binoculars,binoculars,"binoculars can be found in a zoo, aquarium, zoo, zoo, zo"
